Election_Id;Wahlkreis_Id;Amount
2;237;164828
2;238;160103
2;239;174569
2;240;172449
2;241;243643
2;242;179506
2;243;253603
2;244;193031
2;245;185799
2;246;226102
2;247;184171
2;248;217994
2;249;197762
2;250;200150
2;251;226597
2;252;208231
2;253;244203
2;254;189974
2;255;237651
2;256;224278
2;257;244541
2;258;191191
2;259;183064
2;260;247128
2;261;166975
2;262;205756
2;263;179130
2;264;221739
2;265;209968
2;266;226751
2;267;241656
2;268;224384
2;269;175434
2;270;222959
2;271;205735
2;272;209733
2;273;207555
2;274;215943
2;275;198525
2;276;213424
2;277;197424
2;278;195953
2;279;219976
2;280;197679
2;281;219472
2;282;229316
2;283;215623
2;284;205119
2;285;199241
2;286;166191
2;287;202393
2;288;177313
2;289;199091
2;290;193188
2;291;220702
2;292;163772
2;293;171016
2;294;185006
2;295;184370
2;296;204905
2;297;211529
2;298;181521
2;299;198117
