Id;Election_Id;Party_Id;Wahlkreis_Id;Amount
245;1;1;32;12700
246;1;3;32;6927
247;1;4;32;6575
248;1;6;32;1286
249;1;33;32;85
250;1;NULL;33;1315
251;1;2;33;52599
252;1;1;33;15928
253;1;3;33;9775
254;1;4;33;11917
255;1;6;33;1660
256;1;33;33;193
257;1;NULL;34;1337
258;1;2;34;53080
259;1;1;34;10787
260;1;3;34;12242
261;1;4;34;12318
262;1;6;34;2417
263;1;33;34;187
264;1;NULL;35;1326
265;1;2;35;48344
266;1;1;35;9895
267;1;3;35;8366
268;1;4;35;9101
269;1;6;35;2138
270;1;33;35;167
271;1;NULL;36;1552
272;1;2;36;59657
273;1;1;36;15812
274;1;3;36;9611
275;1;4;36;13772
276;1;6;36;1935
277;1;33;36;177
278;1;7;36;1153
279;1;NULL;37;1366
280;1;2;37;43229
281;1;1;37;11242
282;1;3;37;11935
283;1;4;37;19645
284;1;6;37;1860
285;1;33;37;135
286;1;7;37;1449
287;1;NULL;38;1353
288;1;2;38;63175
289;1;1;38;12940
290;1;3;38;9006
291;1;4;38;10393
292;1;6;38;1382
293;1;33;38;120
294;1;NULL;39;1370
295;1;2;39;54522
296;1;1;39;14823
297;1;3;39;9918
298;1;4;39;14282
299;1;6;39;945
300;1;33;39;88
301;1;NULL;40;1376
302;1;2;40;52714
303;1;1;40;8712
304;1;3;40;8797
305;1;4;40;10217
306;1;6;40;2036
307;1;33;40;147
308;1;NULL;41;1381
309;1;2;41;42621
310;1;1;41;9699
311;1;3;41;10624
312;1;4;41;13364
313;1;6;41;1759
314;1;16;41;176
315;1;33;41;118
316;1;7;41;978
317;1;NULL;42;1392
318;1;2;42;44534
319;1;1;42;8657
320;1;3;42;12886
321;1;4;42;15797
322;1;6;42;1573
323;1;33;42;122
324;1;NULL;43;1764
325;1;2;43;66311
326;1;1;43;14560
327;1;3;43;11173
328;1;4;43;11642
329;1;6;43;2642
330;1;33;43;179
331;1;NULL;44;1701
332;1;2;44;68572
333;1;1;44;11351
334;1;3;44;10130
335;1;4;44;10801
336;1;6;44;2501
337;1;33;44;180
338;1;7;44;1684
339;1;NULL;45;1822
340;1;2;45;58827
341;1;1;45;10073
342;1;3;45;11663
343;1;4;45;9476
344;1;6;45;2029
345;1;9;45;838
346;1;33;45;155
347;1;7;45;1346
348;1;NULL;46;1948
349;1;2;46;49787
350;1;1;46;10401
351;1;3;46;11820
352;1;4;46;10849
353;1;6;46;2283
354;1;33;46;146
355;1;NULL;47;2005
356;1;2;47;65573
357;1;1;47;12982
358;1;3;47;11976
359;1;4;47;12533
360;1;6;47;2853
361;1;33;47;181
362;1;7;47;1422
363;1;NULL;48;1802
364;1;2;48;60376
365;1;1;48;10231
366;1;3;48;11402
367;1;4;48;14856
368;1;6;48;2606
369;1;33;48;152
370;1;7;48;1293
371;1;NULL;49;2167
372;1;2;49;50519
373;1;1;49;9436
374;1;3;49;12538
375;1;4;49;9032
376;1;6;49;2791
377;1;33;49;186
378;1;7;49;1163
379;1;NULL;50;1535
