Election_Id;Wahlkreis_Id;Amount
2;267;173772
2;268;158389
2;269;130255
2;270;162969
2;271;150050
2;272;159992
2;273;148159
2;274;168177
2;275;137796
2;276;155585
2;277;147782
2;278;145107
2;279;159491
2;280;145151
2;281;168260
2;282;164341
2;283;153869
2;284;145259
2;285;143449
2;286;119181
2;287;147557
2;288;128808
2;289;150014
2;290;149768
2;291;167199
2;292;121718
2;293;128696
2;294;135877
2;295;132905
2;296;142400
2;297;154287
2;298;138097
2;299;142644
